% Model:              nanorod_3d_placa.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 3 2019, 14:35
% Dimension:          3
% Nodes:              484
% Expressions:        3
% Description:        Arrow volume
% X                       Y                        Z                        VectorX                  VectorY                  VectorZ
8.00000000000001E-5       -8.000044445933305E-5    4.931179035341085E-4     0                        -1.1684362379714E-4      -5.5862679900902656E-5
1.600000000000001E-4      -8.000044445933305E-5    4.931179035341085E-4     0                        -1.1654050604323467E-4   -5.6652590997544725E-5
-1.600000000000001E-4     0                        4.931179035341085E-4     0                        -1.2514256374789463E-4   -1.605179284613053E-5
-7.999999999999999E-5     0                        4.931179035341085E-4     0                        -1.250785789397777E-4    -1.5811724672926516E-5
0                         0                        4.931179035341085E-4     0                        -1.25119590346298E-4     -1.574096675288482E-5
8.00000000000001E-5       0                        4.931179035341085E-4     0                        -1.2512872286848391E-4   -1.5819121282869922E-5
1.600000000000001E-4      0                        4.931179035341085E-4     0                        -1.2520252523127103E-4   -1.5948544461776042E-5
-1.600000000000001E-4     8.000044445933315E-5     4.931179035341085E-4     0                        -1.387991978803065E-4    2.1589112070049322E-5
-7.999999999999999E-5     8.000044445933315E-5     4.931179035341085E-4     0                        -1.3854569065807645E-4   2.1284767054652117E-5
0                         8.000044445933315E-5     4.931179035341085E-4     0                        -1.3844850448786888E-4   2.1207513667687977E-5
8.00000000000001E-5       8.000044445933315E-5     4.931179035341085E-4     0                        -1.3850229689080007E-4   2.1285787754749768E-5
1.600000000000001E-4      8.000044445933315E-5     4.931179035341085E-4     0                        -1.3882086748868855E-4   2.159346953618731E-5
-7.999999999999999E-5     1.600008889186662E-4     4.931179035341085E-4     0                        -1.564876424788461E-4    5.6530954372120336E-5
0                         1.600008889186662E-4     4.931179035341085E-4     0                        -1.5627315396783218E-4   5.634819725664233E-5
8.00000000000001E-5       1.600008889186662E-4     4.931179035341085E-4     0                        -1.5644418693545398E-4   5.6618488297187284E-5
-7.999999999999999E-5     -1.600008889186661E-4    5.588669573386564E-4     0                        -1.4468310317635767E-4   -1.1918097936026337E-4
0                         -1.600008889186661E-4    5.588669573386564E-4     0                        -1.4487644565415117E-4   -1.1867301768886903E-4
8.00000000000001E-5       -1.600008889186661E-4    5.588669573386564E-4     0                        -1.4473502073934343E-4   -1.192179989262522E-4
-1.600000000000001E-4     -8.000044445933305E-5    5.588669573386564E-4     0                        -1.4993124767405904E-4   -7.081988507564742E-5
-7.999999999999999E-5     -8.000044445933305E-5    5.588669573386564E-4     0                        -1.5028050372279815E-4   -7.005103264902336E-5
0                         -8.000044445933305E-5    5.588669573386564E-4     0                        -1.50402468671756E-4     -6.972213274805889E-5
8.00000000000001E-5       -8.000044445933305E-5    5.588669573386564E-4     0                        -1.5025602986179973E-4   -7.000533479992963E-5
1.600000000000001E-4      -8.000044445933305E-5    5.588669573386564E-4     0                        -1.4992618206724853E-4   -7.08844555603909E-5
-1.600000000000001E-4     0                        5.588669573386564E-4     0                        -1.612099930192099E-4    -2.5864773517038286E-5
-7.999999999999999E-5     0                        5.588669573386564E-4     0                        -1.612073608504568E-4    -2.5655727238963966E-5
0                         0                        5.588669573386564E-4     0                        -1.610932149407889E-4    -2.5551005380384262E-5
8.00000000000001E-5       0                        5.588669573386564E-4     0                        -1.611885601790031E-4    -2.5648925062548155E-5
1.600000000000001E-4      0                        5.588669573386564E-4     0                        -1.6121882763435127E-4   -2.5766433023875522E-5
-1.600000000000001E-4     8.000044445933315E-5     5.588669573386564E-4     0                        -1.771137037107308E-4    1.598929474141838E-5
-7.999999999999999E-5     8.000044445933315E-5     5.588669573386564E-4     0                        -1.7677227678318663E-4   1.5702767665017982E-5
0                         8.000044445933315E-5     5.588669573386564E-4     0                        -1.7669956289205664E-4   1.5703335941448808E-5
8.00000000000001E-5       8.000044445933315E-5     5.588669573386564E-4     0                        -1.7677393746889553E-4   1.569736082228304E-5
1.600000000000001E-4      8.000044445933315E-5     5.588669573386564E-4     0                        -1.7710689536950278E-4   1.600016221440805E-5
-7.999999999999999E-5     1.600008889186662E-4     5.588669573386564E-4     0                        -1.966688139438596E-4    5.505474842144903E-5
0                         1.600008889186662E-4     5.588669573386564E-4     0                        -1.9645278328820148E-4   5.486498865192923E-5
8.00000000000001E-5       1.600008889186662E-4     5.588669573386564E-4     0                        -1.9663976497948454E-4   5.508308690522621E-5
